owner,old_balance,new_allocation
BjMcZy5CXFhGsr9i9fib7QTHwwqitaFN9jRZfye5CRbe,24000000000000,51492100643657
AGtVqLrjwb8JjjMyTRjoGLyzxT31SQytzvJgaswWSNuS,8400000000000,18022235225277
DwCXjaSyJL1z3RYFdioE4pbaJDpQKivrSQ3gVv5tr1u7,6100000000000,13087575580261
3SgtsZNDWRSxKc92YVq7mTVDmv9mXSYqhNMsYt4oa7t6,4750000000000,10191144919055
9rbZMKDdCf4kK2KtbkQtvPrhqSWnZ7sdNy9y8FeJ2ts6,3200000000000,6865613419153
G7Dg7VdpTPXTZM9kQgA6tWc1zHduce21ge6UQeyefgX2,2050000000000,4398283596645
3Kxfy6hi3So4cbSK1fe4zRHJKqzSrSb6jbBABk7onZ53,1400000000000,3003705870879
3qMPMjrwBnDaYpBd8Cte45JE1zi8fwZSCpVq7kzDDC5g,900000000000,1930953774136
9k7zBRvs7svKBQm3Tw1iNdKdiMFR6zr8dqDzRAidM4zN,350000000000,750926467719
BVxjvaDTXWysqqQKfWJZsLosUHwZkd7wZSk9MPh7aNB8,120000000000,257460503218
