# Influencer allocations — bucket 3 (50%), equal split; first absorbs the division remainder.
address,amount,handle
5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,18884799999031,slingoor
GV6UUmNxz2RpKxmNAPadYKb7uQpszwqQAu3qLJxVdC52,18884799999026,ansemconzimp
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,18884799999026,mitch
6i2aHtxfqkC2biTo98FSkP59FVHPKFRLZWDbdghN6WKK,18884799999026,sapijiju
7YndBV5gp3VvAiBbSfv8M7CoyMhFsiKeGYWkwee49fTg,18884799999026,poe
CAPn1yH4oSywsxGU456jfgTrSSUidf9jgeAnHceNUJdw,18884799999026,cap
Fv7ubG15npHzRTKqg8AkAwNNMLaaTgecGWt3yoTmfUWT,18884799999026,realgainzy
6HJetMbdHBuk3mLUainxAPpBpWzDgYbHGTS2TqDAUSX2,18884799999026,onlyljc
6DtEedWf9Wk5hA7Xth82Eq441yf5DA4aGLqaQAVfDokm,18884799999026,alonalon
FuP8dYQytaThMh9Fg2XNd1Z1eNHxMHW92kVUfWf3TnmD,18884799999026,mdudas
