owner,old_balance,new_allocation
9o6PBy5caxia5EzcgsznUXRWTDvkymsTCdNxuEbkEzjU,31078354767101,1041522281505
8PnooA8SGUcYB6JKUeSgznynQ7bTeBsMDCV85EcfnWde,25105260530178,841347246629
AKkonuyzfrZF6W578jmLgm8wbV9LhDMrF6mcQ4qsasqK,21638841349513,725177879264
GwUDZcdRyyi6PRdPC43b7VagkbcmUpcRJ92tVSXugJzi,21487534615146,720107168916
3YZF5wT1BHKuJDWp1znjPm1RyaUdkMsQ54UTxjUfsHzE,21279112644209,713122367815
CLSQehNAWatvfFJkfLCKotdkLfxGBsAVzeUaRtthfUGw,20290336900284,679985737001
98AAcSx1g481St7Z694J3GGvX14hWsvR9aSQFiARhHYB,20068146706636,672539524386
EDfyCJfzXThWQSEXnyZ6ttP7w8D1tLwzJGDJcNuMxfhb,19637662008488,658112782427
Dw2oz87ccw3CPk8NBvDAVn6xEbQZ5gsRtggFuCTgRzkK,18703459382861,626805048897
FeQTWVX7YxxfMjDhMzDqFZgD1kFMthqFWbYtXZuoaHQJ,18461378122877,618692231215
9CFDyFFiCKn1SmHxvgRukrZ89AdBUhZR1u9SR2MTaLqB,17641502003241,591215897520
FJRdXbcDeuh9YBJnmoMb7wPdXJL7hLNwqYGArQ8QVWrp,16946537952018,567925715356
7NnsEnyokkPtpUKYZeL3oyC2sCQopUHbs4gijPfWsGYw,16902125709800,566437337347
5Ztungr4LEjgskyD9b8CisPCGpjrw58zYpUrsL9jP13Z,16865682299717,565216017110
39y9hnr8NQXbkePLNJKxhZbswmdWGbApKmqn7k5iKSZT,16447175706555,551190694830
Fg9ySwkcZGCpAaEuA3ah1u4zQfhbJd14S8TmpoBYiw1F,14735296602690,493820855196
2iWDkp52spSVkUE3WPS68foAvJeGBA1NM7pahE9XBC9P,13793443298528,462256726107
FjwCmEdpV2bDeLwL9819JNwcxwjwEopK4PqfMEyzG9c2,13520050233950,453094562589
5VAggyKDa7UKBr3FuoX1Quc4P18Jk7gMKhNQVW8yrNoW,12731472500402,426667125038
G699iqdgtsN5ftKfCWiton9hZtPbgRr7Lcswx5jCeQd2,12480754430315,418264863779
BRMdZTFahSZjzhF14rCEKbngvgExQeRUT8mV2cvjN16E,12009626979468,402476069908
2H4YHMJwdtDXNb27cgXgzj4ua16qEHrYnyZaR5f3MGHm,11782139907060,394852344124
AQBxFkaAr36WXY639HBiS7HThhgxaT4Y1xXQzLtvvLkX,11696609426923,391985979369
HSQbuUoPzGpyqx2t7My9AwtEUToodL5NQcSBa8Tfm3nM,11189529252829,374992309545
ERYnJeX7p4Mu56vYmQhLUC5hojufMrMWJnFRJpVdUJEU,10924293174251,366103509361
EirdGKByapUVLwu57jCVQWpCWAYcjZuaPmUmratPtfS4,10862735471852,364040539197
G8xnRZ3QDuLQQpdhR23eEhdJSXV1urUComoXUGgYD3N9,10707200547892,358828130432
51rfMNR812cnTWr5Dm1RcM99kgPLLt22n2vU98RSq59k,10308276415673,345459070993
